万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,100345000,65,216600,3,3,2700,10000,3000,
300446.SZ,300446,20171229,100345000,66,216300,1,1,200,
300446.SZ,300446,20171229,100351000,65,216600,3,3,2700,10000,3000,
300446.SZ,300446,20171229,100351000,66,216200,3,3,700,500,200,
300446.SZ,300446,20171229,100357000,65,216600,4,4,2700,10000,3000,600,
300446.SZ,300446,20171229,100357000,66,216200,3,3,700,500,200,
300446.SZ,300446,20171229,100409000,65,216600,4,4,2700,10000,600,500,
300446.SZ,300446,20171229,100409000,66,216200,3,3,700,500,200,
300446.SZ,300446,20171229,100433000,65,216600,3,3,2700,10000,600,
300446.SZ,300446,20171229,100433000,66,216200,3,3,700,500,200,
300446.SZ,300446,20171229,100436000,65,216600,3,3,2700,10000,600,
300446.SZ,300446,20171229,100436000,66,216200,3,3,600,500,200,
300446.SZ,300446,20171229,100448000,65,216600,3,3,2700,10000,600,
300446.SZ,300446,20171229,100448000,66,216200,4,4,600,500,200,1500,
300446.SZ,300446,20171229,100451000,65,216600,3,3,2700,10000,600,
300446.SZ,300446,20171229,100451000,66,216200,3,3,200,1500,300,
300446.SZ,300446,20171229,100527000,65,216600,3,3,2700,10000,600,
300446.SZ,300446,20171229,100527000,66,216300,1,1,2000,
300446.SZ,300446,20171229,100551000,65,216600,3,3,2700,10000,600,
300446.SZ,300446,20171229,100551000,66,216300,1,1,800,
300446.SZ,300446,20171229,100639000,65,216500,1,1,200,
300446.SZ,300446,20171229,100639000,66,216300,1,1,800,
300446.SZ,300446,20171229,100642000,65,216400,1,1,600,
300446.SZ,300446,20171229,100642000,66,216300,1,1,800,
300446.SZ,300446,20171229,100651000,65,216400,1,1,600,
300446.SZ,300446,20171229,100651000,66,216200,1,1,1000,
300446.SZ,300446,20171229,100657000,65,216300,1,1,100,
300446.SZ,300446,20171229,100657000,66,216200,1,1,1000,
300446.SZ,300446,20171229,100724000,65,216400,1,1,600,
